020  01640 |Loss: 0.464 | Acc: 81.000% 
020  01641 |Loss: 0.468 | Acc: 80.000% 
020  01642 |Loss: 0.478 | Acc: 80.000% 
020  01643 |Loss: 0.505 | Acc: 79.000% 
020  01644 |Loss: 0.506 | Acc: 80.000% 
020  01645 |Loss: 0.497 | Acc: 80.000% 
020  01646 |Loss: 0.503 | Acc: 80.000% 
020  01647 |Loss: 0.503 | Acc: 80.000% 
020  01648 |Loss: 0.501 | Acc: 80.000% 
020  01649 |Loss: 0.497 | Acc: 80.000% 
020  01650 |Loss: 0.494 | Acc: 81.000% 
020  01651 |Loss: 0.499 | Acc: 81.000% 
020  01652 |Loss: 0.494 | Acc: 81.000% 
020  01653 |Loss: 0.495 | Acc: 80.000% 
020  01654 |Loss: 0.492 | Acc: 80.000% 
020  01655 |Loss: 0.492 | Acc: 80.000% 
020  01656 |Loss: 0.485 | Acc: 81.000% 
020  01657 |Loss: 0.483 | Acc: 81.000% 
020  01658 |Loss: 0.483 | Acc: 81.000% 
020  01659 |Loss: 0.485 | Acc: 81.000% 
020  01660 |Loss: 0.492 | Acc: 81.000% 
020  01661 |Loss: 0.489 | Acc: 81.000% 
020  01662 |Loss: 0.486 | Acc: 81.000% 
020  01663 |Loss: 0.492 | Acc: 81.000% 
020  01664 |Loss: 0.499 | Acc: 81.000% 
020  01665 |Loss: 0.501 | Acc: 81.000% 
020  01666 |Loss: 0.498 | Acc: 81.000% 
020  01667 |Loss: 0.495 | Acc: 81.000% 
020  01668 |Loss: 0.498 | Acc: 81.000% 
020  01669 |Loss: 0.501 | Acc: 81.000% 
020  01670 |Loss: 0.500 | Acc: 81.000% 
020  01671 |Loss: 0.502 | Acc: 81.000% 
020  01672 |Loss: 0.503 | Acc: 81.000% 
020  01673 |Loss: 0.502 | Acc: 81.000% 
020  01674 |Loss: 0.502 | Acc: 80.000% 
020  01675 |Loss: 0.502 | Acc: 80.000% 
020  01676 |Loss: 0.504 | Acc: 80.000% 
020  01677 |Loss: 0.503 | Acc: 80.000% 
020  01678 |Loss: 0.500 | Acc: 80.000% 
020  01679 |Loss: 0.509 | Acc: 80.000% 
020  01680 |Loss: 0.506 | Acc: 80.000% 
020  01681 |Loss: 0.504 | Acc: 80.000% 
020  01682 |Loss: 0.505 | Acc: 80.000% 
020  01683 |Loss: 0.504 | Acc: 80.000% 
020  01684 |Loss: 0.505 | Acc: 80.000% 
020  01685 |Loss: 0.506 | Acc: 80.000% 
020  01686 |Loss: 0.505 | Acc: 80.000% 
020  01687 |Loss: 0.506 | Acc: 80.000% 
020  01688 |Loss: 0.505 | Acc: 80.000% 
020  01689 |Loss: 0.503 | Acc: 81.000% 
020  01690 |Loss: 0.501 | Acc: 81.000% 
020  01691 |Loss: 0.498 | Acc: 81.000% 
020  01692 |Loss: 0.499 | Acc: 81.000% 
020  01693 |Loss: 0.500 | Acc: 81.000% 
